Đó	P	B-NP	O
là	V	B-VP	O
con	Nc	B-NP	O
đường	N	B-NP	O
biển	N	B-NP	O
ngắn	A	B-AP	O
nhất	A	B-AP	O
để	E	B-PP	O
đi	V	B-VP	O
từ	E	B-PP	O
Ấn_Độ_Dương	Np	B-NP	B-LOC
sang	V	B-VP	O
Thái_Bình_Dương	Np	B-NP	B-LOC
,	CH	O	O
chiếm	V	B-VP	O
đến	E	B-PP	O
lượng	N	B-NP	O
hàng_hoá	N	B-NP	O
lưu_thông	V	B-VP	O
đường_biển	N	B-NP	O
của	E	B-PP	O
thế_giới	N	B-NP	O
,	CH	O	O
đó	P	B-NP	O
là	V	B-VP	O
hải_trình	N	B-NP	O
lớn	A	B-AP	O
nhất	R	O	O
từ	E	B-PP	O
tây	N	B-NP	O
sang	V	B-VP	O
đông	N	B-NP	O
với	E	B-PP	O
50.000	M	B-NP	O
lượt	Nc	B-NP	O
tàu_bè	N	B-NP	O
qua_lại	V	B-VP	O
mỗi	L	B-NP	O
năm	N	B-NP	O
.	CH	O	O

Một	M	B-NP	O
chuyến	N	B-NP	O
hải_trình	N	B-NP	O
xuyên	V	B-VP	O
ba	M	B-NP	O
nước	N	B-NP	O
Malaysia	Np	B-NP	B-LOC
,	CH	O	O
Singapore	Np	B-NP	B-LOC
,	CH	O	O
Indonesia	Np	B-NP	B-LOC
vừa	R	O	O
được	V	B-VP	O
phóng_viên	N	B-NP	O
Tuổi_Trẻ	Np	B-NP	B-ORG
thực_hiện	V	B-VP	O
,	CH	O	O
để	E	B-PP	O
cảm_nhận	V	B-VP	O
điều	N	B-NP	O
mà	C	O	O
các	L	B-NP	O
thuỷ_thủ	N	B-NP	O
tàu	N	B-NP	O
viễn_dương	A	B-AP	O
đã	R	O	O
cảm_nhận	V	B-VP	O
mỗi	L	B-NP	O
khi	N	B-NP	O
nghe	V	B-VP	O
nhắc	V	B-VP	O
tới	R	O	O
:	CH	O	O
hải_tặc	N	B-NP	O
eo_biển	N	B-NP	B-LOC
Malacca	Np	I-NP	I-LOC
!	CH	O	O
...	CH	O	O

Từ	E	B-PP	O
bức	Nc	B-NP	O
điện	N	B-NP	O
của	E	B-PP	O
IMB	Ny	B-NP	B-ORG
...	CH	O	O

Chúng_tôi	P	B-NP	O
lên_đường	V	B-VP	O
ngay	T	O	O
khi	N	B-NP	O
nhận	V	B-VP	O
được	R	O	O
email	FW	B-NP	O
của	E	B-PP	O
ngài	N	B-NP	O
Noel	Np	B-NP	B-PER
Choong	Np	I-NP	I-PER
-	CH	O	O
trưởng	N	B-NP	O
đại_diện	N	B-NP	O
của	E	B-PP	O
Cơ_quan	N	B-NP	B-ORG
Hàng_hải	N	I-NP	I-ORG
quốc_tế	N	I-NP	I-ORG
(	CH	O	O
IMB	Np	B-NP	B-ORG
)	CH	O	O
tại	E	B-PP	O
Malaysia	Np	B-NP	B-LOC
-	CH	O	O
đồng_ý	V	B-VP	O
tiếp	V	B-VP	O
chúng_tôi	P	B-NP	O
để	E	B-PP	O
cung_cấp	V	B-VP	O
những	L	B-NP	O
thông_tin	N	B-NP	O
mới	A	B-AP	O
nhất	A	B-AP	O
về	E	B-PP	O
hải_tặc	N	B-NP	O
eo_biển	N	B-NP	B-LOC
Malacca	Np	I-NP	I-LOC
.	CH	O	O

Ông	Nc	B-NP	O
còn	R	O	O
nhấn_mạnh	V	B-VP	O
trong	E	B-PP	O
thư_điện_tử	N	B-NP	O
:	CH	O	O
“	CH	O	O
Phải	V	B-VP	O
hết_sức	R	O	O
cẩn_thận	A	B-AP	O
vì	E	B-PP	O
hiện_nay	N	B-NP	O
hải_tặc	N	B-NP	O
đã	R	O	O
biến_tướng	V	B-VP	O
như	C	O	O
một	M	B-NP	O
lực_lượng	N	B-NP	O
